Title,Body,Labels,Assignees,Milestone
Definir arquitectura final (Next.js + FastAPI + Postgres + Redis) y ADR inicial,"Documento ADR que justifique la arquitectura elegida, trade-offs, y cómo migraremos desde el estado actual. Entregable: /docs/adr/0001-architecture.md","P0,architecture,docs,backend,frontend",,M0 - Fundaciones
Configurar monorepo y estructura de carpetas,"Crear monorepo (pnpm workspaces o turborepo). Paquetes: web (Next.js), api (FastAPI), shared (tipos/contratos), infra (IaC opcional).","P0,repo,infra,devx",,M0 - Fundaciones
Generar OpenAPI (FastAPI) para Articles/Entities/Sources,"Definir esquemas pydantic, endpoints list/get/create/update/bulk, filtros y paginación. Entregable: /api/openapi.json","P0,backend,api,db",,M0 - Fundaciones
Normalizar esquema DB y vistas de reporting,"Revisar schema.sql y views (v_run_summary, v_run_top_sources, v_run_entities_top, v_run_top_articles, v_run_sentiment_bins). Corregir GROUP BY/aggregates; llaves; índices. Entregable: migraciones alembic.","P0,db,backend,analytics",,M0 - Fundaciones
API de autenticación + RBAC mínima (admin/read),JWT con refresh; roles admin/read. Middlewares en FastAPI; seed de usuarios. Entregable: /api/auth/*,"P0,backend,security,auth",,M0 - Fundaciones
UI base: shell Next.js + Tailwind + shadcn/ui,"Layout (sidebar/header), theming, error boundary, toasts, loading states. Sonarqube/ESLint/Prettier.","P0,frontend,ui,devx",,M0 - Fundaciones
Tabla de Artículos (DataGrid) con filtros server-side,"Next.js page /articles con filtros (fecha, fuente, entidad, texto), paginación, ordenamiento. Integra API GET /articles.","P0,frontend,ui,backend,api",,M1 - Repositorio (Artículos)
Tabla de Entidades con búsqueda y filtros,"Next.js page /entities con filtros (tipo, alias, bloqueadas), paginación. Integra API /entities.","P0,frontend,ui,backend,api",,M1 - Repositorio (Artículos)
Edición de entidades: alias y bloqueo (single edit),Form modal para editar alias y flag de bloqueo. Validaciones mínimas. PATCH /entities/{id}.,"P0,frontend,ui,backend,api",,M2 - Edición Entidades
Bulk ops de entidades (alias/bloqueo),Selección múltiple en tabla + acción masiva. Endpoint POST /entities/bulk con operaciones atómicas.,"P0,frontend,ui,backend,api,bulk",,M2 - Edición Entidades
Bitácora de cambios (audit log),Tabla audit_log (quién/qué/antes/después/cuándo). Decorador en endpoints mutables; vista /audit-log.,"P0,backend,security,observability",,M3 - Seguridad y Trazabilidad
Control de acceso UI por roles,Ocultar/inhabilitar acciones según rol. Guardas de ruta; server actions con verificación de claims.,"P0,frontend,security,auth,ui",,M3 - Seguridad y Trazabilidad
Programación de scrapes desde UI (creación y ejecución manual),Pantalla /jobs: crear job con fuente/parámetros/limites duplicados; disparo manual; ver estado.,"P0,frontend,backend,scraper,ui",,M4 - Scraper Control
"API jobs: crear, listar, disparar, consultar estado",Endpoints /jobs (POST/GET) y /jobs/{id}/run. Integración con Celery/Redis; modelo Job/Run en DB.,"P0,backend,api,scraper,queue",,M4 - Scraper Control
